rank,company,symbol,ytd_return
179,Hartford (The),HIG,13.65
180,Citizens Financial Group,CFG,13.57
181,Eaton Corporation,ETN,13.52
182,Phillips 66,PSX,13.48
183,PulteGroup,PHM,13.08
184,Abbott Laboratories,ABT,12.99
185,Trane Technologies,TT,12.94
186,CMS Energy,CMS,12.91
187,Kroger,KR,12.78
188,CSX Corporation,CSX,12.37
189,Fox Corporation (Class B),FOX,12.14
190,Realty Income,O,11.99
191,Hershey Company (The),HSY,11.91
192,Datadog,DDOG,11.61
193,Nordson Corporation,NDSN,11.54
194,Albemarle Corporation,ALB,11.44
195,Teradyne,TER,11.21
196,Franklin Resources,BEN,10.93
197,Mettler Toledo,MTD,10.86
198,Trimble Inc.,TRMB,10.56
199,Pinnacle West,PNW,10.52
200,Freeport-McMoRan,FCX,10.05
201,Axon Enterprise,AXON,9.76
202,Boston Scientific,BSX,9.65
203,PTC Inc.,PTC,9.44
204,D. R. Horton,DHI,9.30
205,American Express,AXP,9.28
206,Crown Castle,CCI,9.27
207,Baker Hughes,BKR,8.92
208,Coca-Cola Company (The),KO,8.91
209,Travelers Companies (The),TRV,8.74
210,Republic Services,RSG,8.62
211,Solventum,SOLV,8.58
212,Synchrony Financial,SYF,8.44
213,American International Group,AIG,8.27
214,Corteva,CTVA,8.14
215,General Motors,GM,8.08
216,Berkshire Hathaway,BRK.B,8.02
217,Pentair,PNR,7.97
218,Cadence Design Systems,CDNS,7.88
219,Textron,TXT,7.40
220,Deere & Company,DE,7.23
221,Visa Inc.,V,7.16
222,Hewlett Packard Enterprise,HPE,6.89
223,Qualcomm,QCOM,6.81
224,Mohawk Industries,MHK,6.75
225,"Tesla, Inc.",TSLA,6.70
226,Expeditors International,EXPD,6.65
227,Lilly (Eli),LLY,6.61
228,Agilent Technologies,A,6.57
229,Linde plc,LIN,6.47
230,Cigna,CI,6.42
231,Vici Properties,VICI,6.42
232,Yum! Brands,YUM,6.38
233,Cincinnati Financial,CINF,6.33
234,Waste Management,WM,5.82
235,McDonald's,MCD,5.58
236,American Tower,AMT,5.47
237,Mastercard,MA,5.04
238,IQVIA,IQV,5.04
239,Humana,HUM,4.95
240,Hilton Worldwide,HLT,4.83
241,Emerson Electric,EMR,4.72
242,CoStar Group,CSGP,4.71
243,Mondelez International,MDLZ,4.67
244,Chevron Corporation,CVX,4.61
245,Sempra,SRE,4.46
246,Raymond James Financial,RJF,4.30
247,Thermo Fisher Scientific,TMO,4.26
248,NXP Semiconductors,NXPI,4.19
249,Willis Towers Watson,WTW,4.07
250,Tractor Supply,TSCO,3.92
251,Aflac,AFL,3.92
252,Intercontinental Exchange,ICE,3.75
253,Principal Financial Group,PFG,3.58
254,Intuit,INTU,3.52
255,Wabtec,WAB,3.48
256,NetApp,NTAP,3.46
257,ExxonMobil,XOM,3.41
258,Ross Stores,ROST,3.24
259,Simon Property Group,SPG,3.21
260,Public Storage,PSA,3.19
261,Sysco,SYY,2.93
262,Snap-on,SNA,2.87
263,DuPont,DD,2.86
264,T-Mobile US,TMUS,2.65
265,Ametek,AME,2.50
266,Stryker Corporation,SYK,2.45
267,Autodesk,ADSK,2.38
268,Kellanova,K,2.30
269,Extra Space Storage,EXR,2.11
270,Lockheed Martin,LMT,1.99
271,Hubbell Incorporated,HUBB,1.88
272,Vertex Pharmaceuticals,VRTX,1.71
273,A. O. Smith,AOS,1.68
274,Allstate,ALL,1.63
275,Williams-Sonoma,WSM,1.60
276,Expand Energy,EXE,1.48
277,Keysight Technologies,KEYS,1.47
278,Cintas,CTAS,1.37
279,Iron Mountain,IRM,1.31
280,United Airlines Holdings,UAL,1.29
281,Regions Financial Corporation,RF,1.20
282,Costco,COST,1.17
283,Broadridge Financial Solutions,BR,1.12
284,PepsiCo,PEP,1.02
285,Booking Holdings,BKNG,0.80
286,Verizon,VZ,0.76
287,Darden Restaurants,DRI,0.57
288,Public Service Enterprise Group,PEG,0.30
289,Moody's Corporation,MCO,-0.03
290,Delta Air Lines,DAL,-0.22
291,Kinder Morgan,KMI,-0.46
292,Veralto,VLTO,-0.49
293,Domino's,DPZ,-0.58
294,APA Corporation,APA,-0.63
295,TransDigm Group,TDG,-0.79
296,Home Depot (The),HD,-0.89
297,Walt Disney Company (The),DIS,-0.96
298,KeyCorp,KEY,-1.02
299,Southwest Airlines,LUV,-1.25
300,Apple Inc.,AAPL,-1.29
301,Match Group,MTCH,-1.31
302,Edwards Lifesciences,EW,-1.35
303,Digital Realty,DLR,-1.41
304,J.B. Hunt,JBHT,-1.62
305,Assurant,AIZ,-1.63
306,Amazon,AMZN,-1.79
307,Union Pacific Corporation,UNP,-1.87
308,Devon Energy,DVN,-1.88
309,Arthur J. Gallagher & Co.,AJG,-1.97
310,Otis Worldwide,OTIS,-1.99
311,Paycom,PAYC,-2.00
312,Lowe's,LOW,-2.10
313,CF Industries,CF,-2.23
314,SBA Communications,SBAC,-2.37
315,Sherwin-Williams,SHW,-2.56
316,News Corp (Class B),NWS,-2.59
317,Gen Digital,GEN,-2.64
318,Fifth Third Bancorp,FITB,-2.65
319,Regency Centers,REG,-2.66
320,Illinois Tool Works,ITW,-2.71
321,U.S. Bancorp,USB,-2.75
322,Lamb Weston,LW,-2.97
323,Chubb Limited,CB,-3.21
324,Truist Financial,TFC,-3.48
325,MetLife,MET,-3.66
326,Automatic Data Processing,ADP,-3.90
327,Huntington Bancshares,HBAN,-3.90
328,Roper Technologies,ROP,-3.91
329,Las Vegas Sands,LVS,-4.01
330,Charles River Laboratories,CRL,-4.09
331,Hologic,HOLX,-4.81
332,S&P Global,SPGI,-4.93
333,"BXP, Inc.",BXP,-4.98
334,News Corp (Class A),NWSA,-4.99
335,Elevance Health,ELV,-5.03
336,M&T Bank,MTB,-5.14
337,J.M. Smucker Company (The),SJM,-5.18
338,Zimmer Biomet,ZBH,-5.23
339,Interpublic Group of Companies (The),IPG,-5.26
340,Aon,AON,-5.43
341,Motorola Solutions,MSI,-5.52
342,Everest Group,EG,-5.70
343,GE HealthCare,GEHC,-5.76
344,Airbnb,ABNB,-6.00
345,Dayforce,DAY,-6.06
346,Texas Instruments,TXN,-6.18
347,Marriott International,MAR,-6.31
348,Biogen,BIIB,-6.41
349,Arch Capital Group,ACGL,-6.50
350,Masco,MAS,-6.62
351,PNC Financial Services,PNC,-6.68
352,Host Hotels & Resorts,HST,-7.05
353,"NVR, Inc.",NVR,-7.12
354,Starbucks,SBUX,-7.18
355,Lennar,LEN,-7.42
356,Kimco Realty,KIM,-7.58
357,Progressive Corporation,PGR,-7.58
358,Blackstone Inc.,BX,-7.64
359,Packaging Corporation of America,PKG,-7.75
360,T. Rowe Price,TROW,-7.88
361,Healthpeak Properties,DOC,-8.07
362,Pfizer,PFE,-8.10
363,Danaher Corporation,DHR,-8.14
364,Kimberly-Clark,KMB,-8.49
365,MGM Resorts,MGM,-8.57
366,Paccar,PCAR,-8.74
367,Tyson Foods,TSN,-9.00
368,Best Buy,BBY,-9.06
369,Henry Schein,HSIC,-9.07
370,Synopsys,SNPS,-9.29
371,W. W. Grainger,GWW,-9.30
372,Paychex,PAYX,-9.35
373,Omnicom Group,OMC,-9.53
374,Waters Corporation,WAT,-9.56
375,Honeywell,HON,-9.76
376,"Workday, Inc.",WDAY,-9.85
377,Norwegian Cruise Line Holdings,NCLH,-9.93
378,Essex Property Trust,ESS,-10.16
379,MSCI,MSCI,-10.48
380,Coterra,CTRA,-10.67
381,Equifax,EFX,-10.99
382,Invitation Homes,INVH,-11.03
383,Procter & Gamble,PG,-11.07
384,"Nike, Inc.",NKE,-11.13
385,"Block, Inc.",XYZ,-11.16
386,Ameriprise Financial,AMP,-11.17
387,Dover Corporation,DOV,-11.65
388,Marsh McLennan,MMC,-11.75
389,Jack Henry & Associates,JKHY,-12.03
390,Fortinet,FTNT,-12.09
391,Camden Property Trust,CPT,-12.16
392,Air Products,APD,-12.22
393,Zoetis,ZTS,-12.36
394,Federal Realty Investment Trust,FRT,-12.46
395,Ball Corporation,BALL,-12.54
396,McCormick & Company,MKC,-12.62
397,Equinix,EQIX,-12.66
398,ConocoPhillips,COP,-12.79
399,Builders FirstSource,BLDR,-12.83
400,EOG Resources,EOG,-13.17
401,Amcor,AMCR,-13.23
402,Tyler Technologies,TYL,-13.25
403,International Paper,IP,-13.29
404,Lennox International,LII,-13.40
405,Brown & Brown,BRO,-13.59
406,Bio-Techne,TECH,-13.74
407,Fortive,FTV,-13.81
408,Keurig Dr Pepper,KDP,-13.86
409,Cognizant,CTSH,-14.24
410,Colgate-Palmolive,CL,-14.37
411,Equity Residential,EQR,-14.37
412,Dexcom,DXCM,-14.48
413,CDW,CDW,-14.54
414,Avery Dennison,AVY,-14.62
415,Schlumberger,SLB,-14.64
416,Pool Corporation,POOL,-14.66
417,Revvity,RVTY,-14.73
418,ServiceNow,NOW,-14.79
419,Mid-America Apartment Communities,MAA,-14.81
420,Diamondback Energy,FANG,-14.87
421,Stanley Black & Decker,SWK,-14.98
422,Weyerhaeuser,WY,-15.01
423,Prudential Financial,PRU,-15.03
424,Merck & Co.,MRK,-15.29
425,HP Inc.,HPQ,-15.32
426,FedEx,FDX,-15.63
427,DaVita,DVA,-15.72
428,Texas Pacific Land Corporation,TPL,-15.82
429,Verisk Analytics,VRSK,-15.85
430,PPG Industries,PPG,-15.91
